,Mưa đỏ,Mai,Lật mặt 7: Một điều ước,Nhà bà Nữ,Bố già,Bộ tứ báo thủ,Avengers: Hồi kết,Avatar: Dòng chảy của nước,Lật mặt 6: Tấm vé định mệnh,Nhà gia tiên,Tử chiến trên không,Exhuma: Quật mộ trùng ma,Phù thủy tối thượng trong Đa Vũ trụ hỗn loạn,Minions: Sự trỗi dậy của Gru,Hai Phượng,Cua lại vợ bầu,Avengers: Cuộc chiến vô cực,Bỗng dưng trúng số,Mắt biếc,Thám tử lừng danh Conan: Dư ảnh của độc nhãn,Tiệc trăng máu,Địa đạo: Mặt trời trong bóng tối,Mang mẹ đi bỏ,Em chưa 18,Doraemon: Nobita và cuộc phiêu lưu vào thế giới trong tranh,Kong: Đảo Đầu lâu,Gái già lắm chiêu 3,Fast & Furious 8,Aquaman: Đế vương Atlantis,Fast & Furious: Hobbs & Shaw,Lật mặt: 48h,Doraemon: Nobita và bản giao hưởng Địa Cầu,Fast & Furious 7,Godzilla x Kong: Đế chế mới,Đất rừng phương Nam,Godzilla đại chiến Kong,Kẻ trộm Mặt Trăng 4,Thanh gươm diệt quỷ: Vô hạn thành,Kung Fu Panda 4,Ma da,Người Nhện: Không còn nhà,Avengers: Đế chế Ultron,Siêu lừa gặp siêu lầy,Chị chị em em 2,Thor: Tình yêu và sấm sét,Thám tử lừng danh Conan: Ngôi sao 5 cánh 1 triệu đô,Người Nhện xa nhà,Cám,Đèn âm hồn,Mỹ nhân ngư,Thế Giới Khủng Long,Gặp lại chị bầu,Black Panther: Chiến binh Báo Đen,Em là bà nội của anh,Để Mai tính 2,Em và Trịnh,Fast & Furious X,Tee Yod: Quỷ ăn tạng 2,Minions,Kung Fu Panda 3,Frozen II,Doctor Strange,Cô Gái Từ Quá Khứ,Nghề siêu dễ,Mười: Lời nguyền trở lại,Chuyện Ma Gần Nhà,Gái Già Lắm Chiêu 5 - Những Cuộc Đời Vương Giả,Thanh Gươm Diệt Quỷ: Vô Hạn Thành,Pil Gam Sung,Zombie Cưng Của Ba,Qủy Nhập Tràng,Nụ Hôn Bạc Tỷ,Red One: Mật Mã Đỏ,Venom: Kèo Cuối ,Cô Dâu Hào Môn
Mưa đỏ,2.220446049250313e-16,0.9692079647800841,0.9026487379015912,0.9291604710212719,0.9629433937496275,0.9739860800596483,0.9165952490075087,0.8801286054427808,0.9788472473139554,0.9286478905972807,0.8880794759525202,0.8934380913730708,0.9762589464452229,0.8935002872536224,0.960836081119216,0.9280949850083895,0.9339026606021406,0.9873613216177768,0.9368786467227206,0.9419996225069498,0.9607979142302188,0.7398487823530496,0.9137112592860143,0.9441053153119185,0.9259301956137469,0.8386070009314288,0.9642355078432829,0.9652819421630544,0.9476325361249279,0.9608923502437583,0.9603227253182652,0.8708695818598189,1.0,0.9163449628540974,0.7617887263489984,0.9293163951712957,0.8865067653333315,0.8213917048954175,0.8100805129118844,0.9715733185647712,0.9422891216039577,0.949606725531377,0.9186879742807813,0.8911144904374666,0.8838488714260709,0.9651441075927751,0.8764620039925465,0.9014611244385278,0.9464450850071595,0.8212416572691965,0.9113948136509088,0.9682520686285235,0.9435451880819623,0.8995296192204574,0.9281371782678646,0.8225922255081012,0.9122680267073202,0.9120589242595851,0.9071424210967727,0.9396329571102617,0.9513948035392285,0.9777317040542371,0.9922352253375308,0.992206194544759,0.9787638690234951,0.8841086940424399,0.988518654501417,0.8213917048954175,0.9752605875151669,0.8379150762214446,0.9877971425594898,0.9870057641670678,0.9449359828279407,0.8146118772853452,0.8918138243291188
Mai,0.9692079647800841,-6.661338147750939e-16,0.8740849298008255,0.8604516130911344,0.8592077527686878,0.9808684582122986,0.9535876971205869,0.9399258444751067,0.9011562236117349,0.9236870034445013,0.9655152867763647,0.9314634073758838,0.9865112213896138,0.9854677649311712,0.6635597418183308,0.8983426115644114,0.9856140050858649,0.9437997469138932,0.899704419766743,0.9610779926753396,0.9090085003342621,0.9392308859484764,0.9282195778574772,1.0,0.9165728322628877,0.9485273318373268,0.5290042453967776,0.9474873034868166,0.9410547050792547,0.9636512776076235,0.9074279134553969,0.9451501144635842,0.9780231552817895,0.9666760670353312,0.9226795874206535,0.9546239395628849,0.9472073669705747,0.9493835715544832,0.9374794672806764,0.948196916937704,0.97032126949675,0.9798107686962167,0.9408782137717419,0.8113092958178387,0.9635682099171412,0.9501134987672916,0.9478507559618174,0.9141923785014253,0.957387033389095,0.9575714890573279,0.9500428794240078,0.8810876882264226,0.9369434390674268,0.9301005590296995,0.9610516137151206,0.5703395465647059,0.9417754423317759,0.9707240554435567,0.9454250581201529,0.9873534897159981,0.9647157553334917,0.9841132539900151,0.9797515906349908,0.974778886532296,0.9765016041158395,0.9901580480744216,0.9318691266581977,0.9493835715544832,0.9840005064823334,0.9325825479907859,0.9883313828731201,0.8965765149778155,0.9586807222562298,0.9851932721830952,0.912609294630379
Lật mặt 7: Một điều ước,0.9026487379015912,0.8740849298008255,0.0,0.6393882493805823,0.8046543741896164,0.912098526836606,0.9495429669348844,0.89048255999096,0.8753903775615036,0.7709441183081464,0.9245475765540399,0.8743061471077039,0.976136286575631,0.9565687574310656,0.8512284782431329,0.780605176946644,0.9578262508414617,0.846344158620089,0.747627403431547,0.9468980484270769,0.794068426412303,0.8241650156941693,0.7851641374862814,0.9935620178206128,0.7987918755739195,0.8333430533069353,0.826176247741415,0.9194813933289161,0.8859620238973147,0.9117158301679998,0.7866471599491762,0.8424103262474172,0.9647210345962624,0.7618834657815495,0.8323937858218758,0.8959040833504183,0.8737590823404819,0.9441307944548267,0.916950613589275,0.9176394583854585,0.9298451456019474,0.8800141388886056,0.9857121967175854,0.7441594192909686,0.9238466792261194,0.9696738508281835,0.921752444243682,0.8386645064420833,0.8140185297439236,0.9553822550875746,0.8529940924843353,0.9305697953529207,0.9295984916659885,0.7862397966813004,0.9326945484349755,0.8334767316903252,0.8623509883226927,0.9623442117865776,0.8560493028390047,0.9594738583065039,0.9697465797328972,0.9474941974694919,0.9077658141606882,0.9495515347726948,0.9829938865866596,0.9760108068532479,0.937532252965193,0.9441307944548267,0.9881021325641212,0.9173163238192645,0.9429547516884711,0.8023799288466534,0.9158770360240807,0.9745726473393883,0.8506912878242525
Nhà bà Nữ,0.9291604710212719,0.8604516130911344,0.6393882493805823,0.0,0.8404548463222259,0.7546698524354811,0.9369053209058665,0.7731747241630584,0.9113862985002784,0.804549192960922,0.9308205128013644,0.8526432587898609,0.959525706574261,0.9265604904059076,0.8156344358024442,0.6744011655978468,0.9693606187262533,0.9022335323455518,0.7477496109298307,0.9666935315533847,0.7924555550189464,0.8506686835639139,0.7640507048451018,0.8953213473255841,0.8436531366186046,0.8828144835271733,0.8128655438677463,0.8395899202697253,0.8562718487583221,0.920060466424312,0.8291964024384597,0.8758790094657548,0.9496626909920665,0.856167531416939,0.7535534117297026,0.8970945082550335,0.8121772225150046,0.9385136054906463,0.9016985224169095,0.8890905480601288,0.9293886538409664,0.9388967536085588,0.9318317845477248,0.7735590686345265,0.9022170970842047,0.9527795117524099,0.9269303918255394,0.7796140925285078,0.8561939962195098,0.9357577595829972,0.8368500764944661,0.9356898434167084,0.8811109860144544,0.7850470962783617,0.920056472394698,0.735934986210488,0.8854898037047378,0.9357927357839319,0.8596835773997457,0.9647894462070283,0.9046016802595342,0.9697812040233158,0.9337711722998725,0.970932314445599,0.938219997125634,0.9583436973343382,0.8855024895718274,0.9385136054906463,0.9721334222653207,0.8766089979352576,0.9804868083537108,0.7840614161758751,0.8812785207163601,0.9364434561372599,0.6755160762221513
Bố già,0.9629433937496275,0.8592077527686878,0.8046543741896164,0.8404548463222259,0.0,0.8931710886858495,0.946720771450767,0.7968790681369342,0.7091357185601096,0.9113548674183944,0.9646106346434102,0.7678329967359083,0.95874139255443,0.8797889272176247,0.9045790848991051,0.8583513947783266,0.9736109261705678,0.9141685231669897,0.8271826027889454,0.8521931345473416,0.6994199433458597,0.9233070134938495,0.9344859819760593,0.9915943135974294,0.8865781311916239,0.8795835787621227,0.8134074550657374,0.894432901347359,0.8743938961169456,0.9327136545643779,0.7669320567063704,0.8911069767725073,0.9734970474102762,0.9666898806044995,0.8603219051876155,0.8873766985321341,0.903269850632864,0.9480833516481252,0.9460945975453077,0.9444551630835444,0.8589416869301537,0.9148769851443427,0.8354432494054435,0.6647261684866552,0.8894505284970897,0.9055335869570009,0.9103451418696585,0.9141845650016444,0.9495399718362071,0.920545679204792,0.8827926987538504,0.9320454192221808,0.8736797066999619,0.8775036512239853,0.9313857599283046,0.7986346192162417,0.8855372011116075,0.9112919735190708,0.8586419390739565,1.0,0.9443471430182225,0.9162940502872964,0.988876740836561,0.9412443141620355,0.9808920148031223,0.9722167609327449,0.8548748606758187,0.9480833516481252,0.9228321259634517,0.9521141398744313,0.9607459810044172,0.7372185508566362,0.8356981130028462,0.9512418754417176,0.7649826965092793
Bộ tứ báo thủ,0.9739860800596483,0.9808684582122986,0.912098526836606,0.7546698524354811,0.8931710886858495,-2.220446049250313e-16,0.9716239709136684,0.8632023955663578,0.9905567853317435,0.9585377830791024,0.9740648192789353,0.9143399292560564,0.9718680913223238,0.9779317356990558,0.948859576495004,0.9043468233184936,0.9930798768722906,0.9465557251039792,0.927809082863355,1.0,0.9764088996353957,0.9700842928634671,1.0,0.9070566521904968,0.9486065306442618,0.9721561466412477,0.841744498812565,0.9904105110032563,0.9273133450011666,0.9782001561780411,0.8982105574271022,0.9905686893429626,0.9402798391065555,1.0,0.9854249805893852,0.9914399379659696,0.7861197495021552,0.9503028447864104,0.959124561093911,0.9106933476452694,0.9795893003393136,0.9676634320501325,0.9285889643270354,0.9677296820723821,0.9814944268388213,1.0,0.9674088507040826,0.765963485340417,0.9589740328913811,0.8686012349542609,0.9685807191356302,1.0,0.9470185704291596,0.9112960194397035,0.9063537800722634,0.9536731348113452,0.9690104631087836,0.9804324471986423,0.9323046218580947,1.0,0.8735313051073055,1.0,0.9014969590134482,1.0,1.0,0.9623652264362801,0.7965215699301451,0.9503028447864104,0.8835099719610656,1.0,1.0,0.7712657210014402,0.9227324530290143,1.0,0.7539098633490587
Avengers: Hồi kết,0.9165952490075087,0.9535876971205869,0.9495429669348844,0.9369053209058665,0.946720771450767,0.9716239709136684,0.0,0.8801000346253485,0.9398559385735754,0.8975794706997817,0.9189748836866314,0.91790433359533,0.8564459986917276,0.3312215943321827,0.9584335443054354,0.9549925261543861,0.22333276225909215,0.9863207136390584,0.9422906753937055,0.8915085063267116,0.9439274900176171,0.8546358630216332,0.9727423297232173,0.9899423354177511,0.7777761455614496,0.8657958735992713,0.914518444133829,0.9395061673873201,0.8843384678383205,0.8600903170827212,0.9367708989394086,0.8850290696836549,0.9523526239883607,0.993357234772797,0.8652054077973494,0.8499252188577409,0.875001734664802,0.8871372885336533,0.9052363410736306,0.9054709525876736,0.8492467723307926,0.4052697791353028,0.9398540322223459,0.9208017679375687,0.8616284148919555,0.9810414258171307,0.7196524918215446,0.9330313564781516,0.9804074709717768,0.9563511119187368,0.9011831562236103,0.8946191255033611,0.7989986267213735,0.8882795186798799,0.950864313765442,0.9465826973608809,0.9077812214607061,0.9595946096930532,0.8833400209449648,0.9875227984199383,0.887561972646705,0.8784150251365038,0.987085085914784,0.9740628195994374,0.9598933096271729,0.9693679994624402,0.8873281746197913,0.8871372885336533,0.858804560129522,0.9685718128038409,0.8967756285946877,0.9707419480511902,0.9235063126938375,0.8427605033597849,0.9583312858578598
Avatar: Dòng chảy của nước,0.8801286054427808,0.9399258444751067,0.89048255999096,0.7731747241630584,0.7968790681369342,0.8632023955663578,0.8801000346253485,-2.220446049250313e-16,0.9312719227910379,0.8369404843240793,0.8982694269979741,0.8111796576642967,0.9179046699494793,0.8256588221334961,0.8259398904808783,0.8619676219226031,0.8953166387098289,0.9470327437163784,0.8864703087389764,0.8335668075233186,0.887509360120737,0.8056101374592692,0.8701728922099212,0.9826516762444673,0.8473366974860278,0.7095436307357965,0.9366959062038531,0.8442271413976026,0.6213286726062069,0.7795153507800053,0.8589548037841894,0.8911338514249927,0.9239551675501123,0.7855925118203433,0.8259493559541699,0.7596528693914288,0.696545434024495,0.8209714859162305,0.876977115258484,0.8761974551628449,0.8325934868723144,0.8078062334046348,0.9485782927326329,0.8970509743841181,0.7402375728669381,0.8560469203897294,0.7810476926119713,0.8367788609318296,0.921154394821559,0.8202695177542424,0.7399368444816239,0.9203526649616873,0.7803325068450069,0.8766459348529598,0.9431703326151638,0.9094305556367248,0.7537728092330733,0.8650500184899756,0.7834898402559445,0.9726304502389314,0.9519118877821575,0.9003808841032699,0.9835508877810706,0.9507754268440254,0.9584078393802705,0.9964295758849216,0.8041566245331779,0.8209714859162305,0.8771971754762798,0.8681381066128755,0.9382821234894204,0.9477433179913213,0.7712014267950178,0.8052029127011633,0.8215524731599221
Lật mặt 6: Tấm vé định mệnh,0.9788472473139554,0.9011562236117349,0.8753903775615036,0.9113862985002784,0.7091357185601096,0.9905567853317435,0.9398559385735754,0.9312719227910379,0.0,0.9147853275812373,0.9637467770360227,0.8885796771740451,0.9811608799195999,0.9297039743461307,0.9303386860713934,0.8632076468479961,0.9445591337213082,0.8768001422586037,0.9407684734843518,0.9347146619852847,0.8951939192614223,0.9421607022030299,0.9840274478212224,0.9808298038475783,0.928510116941011,0.9165801367515595,0.9150521879728234,0.9056124267425394,0.9524052362621861,0.9120316551904241,0.8477753246719548,0.7643493038282584,0.9832336729448043,0.9662365323192508,0.9105610184844021,0.9170641717639965,0.9770570473127367,0.9408163490649593,0.9606376776090799,0.9507035806794424,0.9281951410004861,0.9324039142370534,0.8844364830350153,0.6947014639675324,0.9364806260252156,0.9668093071799206,0.8729729670631936,0.9239781408207519,0.9340438886031759,0.9701884385119761,0.908394130070306,0.9574364203980391,0.9490331090470349,0.9445770724676088,0.9567155537280937,0.9133814227570353,0.8937009761729114,0.9585893207717329,0.9265405502179721,0.9816526645794261,0.9878706173795943,0.9595092963757522,0.9887253540940444,0.9565950221611728,0.9587065535970019,0.9594355634446874,0.8968927942196441,0.9408163490649593,0.9649711544432218,0.9655929103697427,0.9677863780179521,0.7711494863056398,0.9336887507844486,0.9562577486025526,0.9778259457545704
Nhà gia tiên,0.9286478905972807,0.9236870034445013,0.7709441183081464,0.804549192960922,0.9113548674183944,0.9585377830791024,0.8975794706997817,0.8369404843240793,0.9147853275812373,0.0,0.9709602573559339,0.928399521518523,0.9755471965300361,0.9636240131311614,0.8915984941868407,0.9292224887907324,0.94909114051957,0.9283810066848402,0.8165414691562232,0.9272305202952684,0.8772634319831343,0.9323650589011312,0.8234487365371871,0.7920341127250758,0.8476928116544914,0.8614590401976675,0.9411286417224246,0.9488797915663392,0.8966659234788578,0.9264509945273742,0.9347962356096406,0.9126202481187781,0.9891613898395543,0.9385399659345287,0.8952332355413269,0.9223504980721661,0.9198902949366159,0.9666305930673501,0.9009441972144541,0.7966449445624931,0.9572895114026173,0.8948422682407229,0.9867167212562844,0.8452727213525965,0.9136457327118889,0.9366003834913441,0.9667487746467213,0.8742426424394256,0.9131473580982903,0.9059399756642353,0.9034688438661254,0.9079950597074657,0.8903536500773505,0.852566377321904,0.9606103527747306,0.9010571882419871,0.9240627631471047,0.9529653331331713,0.9225951752926813,0.8821605998811394,0.8721183684076119,0.8781707233071043,0.9110294279144109,0.9786266121698964,0.870829551012732,0.9321053799586684,0.7976978942795087,0.9666305930673501,0.9237166666786559,0.8321794506319974,0.8663258599749802,0.784734482313872,0.9112210584262064,0.9457694519411318,0.92849388603181
