Thứ Hạng,Phim,Link,Đạo diễn,Doanh thu (tỷ VNĐ),Diễn viên,Năm
1,Mưa đỏ,https://vi.wikipedia.org/wiki/M%C6%B0a_%C4%91%E1%BB%8F_(phim),Đặng Thái Huyền,552,"Đỗ Nhật Hoàng, Lê Hạ Anh, Steven Nguyễn, Phương Nam, Lâm Thanh Nhã, Hoàng Long, Đình Khang, Nguyễn Hùng, Trần Gia Huy, Lương Gia Huy, Hiếu Nguyễn, Minh Tuấn,",2025
2,Mai,https://vi.wikipedia.org/wiki/Mai_(phim),Trấn Thành,551,Phương Anh Đào,2024
3,Lật mặt 7: Một điều ước,https://vi.wikipedia.org/wiki/L%E1%BA%ADt_m%E1%BA%B7t_7:_M%E1%BB%99t_%C4%91i%E1%BB%81u_%C6%B0%E1%BB%9Bc,Lý Hải,483,Thanh Hiền,2024
4,Nhà bà Nữ,https://vi.wikipedia.org/wiki/Nh%C3%A0_b%C3%A0_N%E1%BB%AF,Trấn Thành,475,"Trấn Thành, Khả Như,",2023
5,Bố già,https://vi.wikipedia.org/wiki/B%E1%BB%91_gi%C3%A0_(phim_2021),Trấn Thành,427,"Trấn Thành, NSND Ngọc Giàu, Tuấn Trần, Ngân Chi, Lê Giang, Hoàng Mèo,",2021
6,Bộ tứ báo thủ,https://vi.wikipedia.org/wiki/B%E1%BB%99_t%E1%BB%A9_b%C3%A1o_th%E1%BB%A7,Trấn Thành,332,Tiểu Vy,2025
7,Avengers: Hồi kết,https://vi.wikipedia.org/wiki/Avengers:_H%E1%BB%93i_k%E1%BA%BFt,Anthony Russo,280,Robert Downey Jr.,2019
8,Avatar: Dòng chảy của nước,https://vi.wikipedia.org/wiki/Avatar:_D%C3%B2ng_ch%E1%BA%A3y_c%E1%BB%A7a_n%C6%B0%E1%BB%9Bc,James Cameron,278,Sam Worthington,2022
9,Lật mặt 6: Tấm vé định mệnh,https://vi.wikipedia.org/wiki/L%E1%BA%ADt_m%E1%BA%B7t_6:_T%E1%BA%A5m_v%C3%A9_%C4%91%E1%BB%8Bnh_m%E1%BB%87nh,Lý Hải,273,"Lý Hải, Quốc Cường,",2023
11,Nhà gia tiên,https://vi.wikipedia.org/wiki/Nh%C3%A0_gia_ti%C3%AAn,Huỳnh Lập,243,Huỳnh Lập,2025
13,Exhuma: Quật mộ trùng ma,https://vi.wikipedia.org/wiki/Exhuma:_Qu%E1%BA%ADt_m%E1%BB%99_tr%C3%B9ng_ma,Jang Jae-hyun,213,"Choi Min-sik, Yoo Hai-jin, Kim Go-eun,",2024
15,Phù thủy tối thượng trong Đa Vũ trụ hỗn loạn,https://vi.wikipedia.org/wiki/Ph%C3%B9_th%E1%BB%A7y_t%E1%BB%91i_th%C6%B0%E1%BB%A3ng_trong_%C4%90a_V%C5%A9_tr%E1%BB%A5_h%E1%BB%97n_lo%E1%BA%A1n,Sam Raimi,201,Benedict Cumberbatch,2022
16,Minions: Sự trỗi dậy của Gru,https://vi.wikipedia.org/wiki/Minions:_S%E1%BB%B1_tr%E1%BB%97i_d%E1%BA%ADy_c%E1%BB%A7a_Gru,Kyle Balda,200,Pierre Coffin,2022
17,Hai Phượng,https://vi.wikipedia.org/wiki/Hai_Ph%C6%B0%E1%BB%A3ng,Lê Văn Kiệt,200,Ngô Thanh Vân,2019
18,Cua lại vợ bầu,https://vi.wikipedia.org/wiki/Cua_l%E1%BA%A1i_v%E1%BB%A3_b%E1%BA%A7u,Nhất Trung,192,"Trấn Thành,",2019
19,Avengers: Cuộc chiến vô cực,https://vi.wikipedia.org/wiki/Avengers:_Cu%E1%BB%99c_chi%E1%BA%BFn_v%C3%B4_c%E1%BB%B1c,Anthony Russo,189,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Benedict Cumberbatch,",2018
20,Bỗng dưng trúng số,https://vi.wikipedia.org/wiki/B%E1%BB%97ng_d%C6%B0ng_tr%C3%BAng_s%E1%BB%91,Park Gyu-Tae,182,Go Kyung-pyo,2022
21,Mắt biếc,https://vi.wikipedia.org/wiki/M%E1%BA%AFt_bi%E1%BA%BFc_(phim),Victor Vũ,180,Trần Nghĩa,2019
22,Thám tử lừng danh Conan: Dư ảnh của độc nhãn,https://vi.wikipedia.org/wiki/Th%C3%A1m_t%E1%BB%AD_l%E1%BB%ABng_danh_Conan:_D%C6%B0_%E1%BA%A3nh_c%E1%BB%A7a_%C4%91%E1%BB%99c_nh%C3%A3n,Katsuya Shigehara,175,"Takayama Minami,",2025
23,Tiệc trăng máu,https://vi.wikipedia.org/wiki/Ti%E1%BB%87c_tr%C4%83ng_m%C3%A1u,Nguyễn Quang Dũng,175,Hồng Ánh,2020
24,Địa đạo: Mặt trời trong bóng tối,https://vi.wikipedia.org/wiki/%C4%90%E1%BB%8Ba_%C4%91%E1%BA%A1o:_M%E1%BA%B7t_tr%E1%BB%9Di_trong_b%C3%B3ng_t%E1%BB%91i,Bùi Thạc Chuyên,173,Thái Hòa,2025
25,Mang mẹ đi bỏ,https://vi.wikipedia.org/wiki/Mang_m%E1%BA%B9_%C4%91i_b%E1%BB%8F,Mo Hong-jin,172,Hồng Đào,2025
26,Em chưa 18,https://vi.wikipedia.org/wiki/Em_ch%C6%B0a_18,Lê Thanh Sơn,171,"Kiều Minh Tuấn, Kaity Nguyễn,",2017
27,Doraemon: Nobita và cuộc phiêu lưu vào thế giới trong tranh,https://vi.wikipedia.org/wiki/Doraemon:_Nobita_v%C3%A0_cu%E1%BB%99c_phi%C3%AAu_l%C6%B0u_v%C3%A0o_th%E1%BA%BF_gi%E1%BB%9Bi_trong_tranh,Teramoto Yukiyo,170,Mizuta Wasabi,2025
28,Kong: Đảo Đầu lâu,https://vi.wikipedia.org/wiki/Kong:_%C4%90%E1%BA%A3o_%C4%90%E1%BA%A7u_l%C3%A2u,Jordan Vogt-Roberts,169,Tom Hiddleston,2017
