,Mưa đỏ,Mai,Lật mặt 7: Một điều ước,Nhà bà Nữ,Bố già,Bộ tứ báo thủ,Avengers: Hồi kết,Avatar: Dòng chảy của nước,Lật mặt 6: Tấm vé định mệnh,Nhà gia tiên,Exhuma: Quật mộ trùng ma,Phù thủy tối thượng trong Đa Vũ trụ hỗn loạn,Minions: Sự trỗi dậy của Gru,Hai Phượng,Cua lại vợ bầu,Avengers: Cuộc chiến vô cực,Bỗng dưng trúng số,Mắt biếc,Thám tử lừng danh Conan: Dư ảnh của độc nhãn,Tiệc trăng máu,Địa đạo: Mặt trời trong bóng tối,Mang mẹ đi bỏ,Em chưa 18,Doraemon: Nobita và cuộc phiêu lưu vào thế giới trong tranh,Kong: Đảo Đầu lâu,Gái già lắm chiêu 3,Fast & Furious 8,Aquaman: Đế vương Atlantis,Fast & Furious: Hobbs & Shaw,Lật mặt: 48h,Doraemon: Nobita và bản giao hưởng Địa Cầu,Fast & Furious 7,Godzilla x Kong: Đế chế mới,Đất rừng phương Nam,Godzilla đại chiến Kong,Kẻ trộm Mặt Trăng 4,Thanh gươm diệt quỷ: Vô hạn thành,Kung Fu Panda 4,Ma da,Người Nhện: Không còn nhà,Avengers: Đế chế Ultron,Siêu lừa gặp siêu lầy,Chị chị em em 2,Thor: Tình yêu và sấm sét,Thám tử lừng danh Conan: Ngôi sao 5 cánh 1 triệu đô,Người Nhện xa nhà,Cám,Đèn âm hồn,Mỹ nhân ngư,Thế Giới Khủng Long,Gặp lại chị bầu,Black Panther: Chiến binh Báo Đen,Em là bà nội của anh,Để Mai tính 2,Em và Trịnh,Fast & Furious X,Tee Yod: Quỷ ăn tạng 2,Minions
Mưa đỏ,-2.220446049250313e-16,0.7981514782125008,0.89040759974892,0.8742666392222298,0.9040399374120756,1.0,0.6556641429127106,0.771247158250389,0.8437781448274094,0.9074358961743322,0.8169458395641935,0.8469417626813214,0.7381586910658458,0.8581562484734644,0.8326250888078446,0.6213371918623088,0.817105731511828,0.776397179520895,1.0,0.8345900725896533,0.5814689463142619,0.9251561183437086,1.0,0.8396687384151584,0.6499510165350356,0.8880090090713469,0.7677007419737297,0.7090842898467002,0.7250997904369335,0.8347654518286318,0.8248543469002136,0.9099825831518189,0.8370506908616852,0.7022920980721079,0.7260578360843033,1.0,0.6728078402170541,0.6901955849635811,0.9244902329321919,0.747124207530709,0.6191846554793834,0.8288603066985594,0.8757654222944727,0.7510867287458929,1.0,0.7298889595367666,0.7954954123274444,0.8577913445372188,0.7347340402947213,1.0,0.892721719939497,0.6961580272667798,0.9005790063587841,0.8067927949701693,0.7920040897049007,0.8132660462328967,0.7330290261930439,0.786769990103481
Mai,0.7981514782125008,-4.440892098500626e-16,0.4709743766242178,0.49310417375753335,0.5176514881749259,1.0,0.6230024390993,0.6717343473131266,0.5834662961310076,0.6146256219040099,0.617799423425992,0.6629610151013495,0.6835593419652847,0.5917943051578187,0.49550880396487496,0.6606331999586024,0.7728489681487751,0.5000362402168019,1.0,0.5432499039944394,0.6823536307702971,0.6686502777302127,1.0,0.6172818652837092,0.684434480325998,0.6479783022130361,0.6302622035766945,0.5636423435444395,0.6721151732174249,0.6214464001733555,0.6452965555800647,0.7899500412062017,0.8179528457396539,0.6101231750944554,0.7106212518246959,1.0,0.7429414673409347,0.676865563604912,0.6272007382974851,0.7034647852717377,0.7106300535028909,0.6493230682873622,0.5785397645176968,0.6613194772882389,1.0,0.6987597417465172,0.45933112823916256,0.6975240692566997,0.6958395245506677,1.0,0.695100548913256,0.6107103685430547,0.5797045561861816,0.744244781794639,0.5048823480692095,0.6875703633119549,0.6223637536906372,0.6407317695098289
Lật mặt 7: Một điều ước,0.89040759974892,0.4709743766242178,0.0,0.381700687084384,0.5778202675266235,1.0,0.7585967560563738,0.7469321807090534,0.7777142807190395,0.7536240213703865,0.7567665282881176,0.8344578242462916,0.7848300457031231,0.736812033849163,0.6915978772358258,0.8047503983869446,0.8293032083584536,0.708322081139019,1.0,0.7492853061365996,0.7735853850198828,0.7378282948942257,1.0,0.7579048009193714,0.7672618169047377,0.6458685773606483,0.7511728437603329,0.6574867877331619,0.7802492170542034,0.6875905361860846,0.7512242471732707,0.8504794903949677,0.8707399355820223,0.7664323903418082,0.7669562789349578,1.0,0.8323765858237524,0.7916701316443074,0.5063920641836899,0.8066238571251263,0.7684805110161919,0.6978492031716055,0.7565420050499105,0.8091967107093017,1.0,0.8173317895666679,0.5748484806736476,0.8750160514252219,0.8538463577998685,1.0,0.7303243312191743,0.7575644248652342,0.4757749225943183,0.8386110229960588,0.676482324286549,0.7657574431084959,0.7368387979226368,0.7815333067294252
Nhà bà Nữ,0.8742666392222298,0.49310417375753335,0.381700687084384,-2.220446049250313e-16,0.5924207504233345,1.0,0.6997851850294299,0.6034313103606824,0.7082880416518402,0.7170869159465854,0.6603880810115097,0.8101587344893654,0.6984072162296597,0.6884793624066289,0.5749082213689718,0.748148539873139,0.8282768393885525,0.6273301208766562,1.0,0.683581630659688,0.737552015288988,0.7394632628123691,1.0,0.7125878292168926,0.7207887232950688,0.6428527382168612,0.6576646535033117,0.6755288965519904,0.7592652593509936,0.6272912068091792,0.6835527491646951,0.8308732058195831,0.8569337383864619,0.6789003950617309,0.7872887598101881,1.0,0.7814792748796674,0.7454622683220324,0.5709086015668655,0.7322780732802414,0.7941657033610143,0.6712809472995045,0.7403796994335162,0.773970764866518,1.0,0.7441897374260719,0.5410585084142805,0.7498296870274074,0.8500768045613214,1.0,0.7705666855041696,0.7014506884861698,0.5960145229844578,0.8022043059729703,0.5722188800249786,0.795421090196907,0.67680008720084,0.6708598565574797
Bố già,0.9040399374120756,0.5176514881749259,0.5778202675266235,0.5924207504233345,0.0,1.0,0.7254796408742441,0.6824551029839021,0.6894301893314362,0.784462013951583,0.5730349478955099,0.806532665372266,0.6556872846133832,0.7989617654349226,0.7302581737855289,0.7503483275131357,0.7112468494827067,0.7424051397719966,1.0,0.6743675181691845,0.7647780893829469,0.7351318530021977,1.0,0.7441033106907212,0.7102146944124275,0.792116697658397,0.681094426265143,0.6774024350306207,0.7495569526169575,0.6555826117656613,0.7274666485088859,0.8466959470103522,0.9137173129426185,0.6665531061649219,0.7836229237354475,1.0,0.8387156775928681,0.7572403389806615,0.7148555795869271,0.7096641544314746,0.7888706808636625,0.6972452572190367,0.742679652375155,0.7583454169703863,1.0,0.7309350043389287,0.5894804336963562,0.7934455089224896,0.8321769963970138,1.0,0.8123273261106642,0.7060224515757527,0.652197150427194,0.7670724476493551,0.5255173592612654,0.7599361013769094,0.6539152333827412,0.7398838797505698
Bộ tứ báo thủ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Avengers: Hồi kết,0.6556641429127106,0.6230024390993,0.7585967560563738,0.6997851850294299,0.7254796408742441,1.0,0.0,0.5524107255801162,0.6786770775381538,0.7213573468335531,0.5993598611116049,0.5151734211153962,0.4677281143926165,0.7394068761947669,0.6549970843231663,0.3054698637441394,0.8015167225920988,0.6698471258935699,1.0,0.6718379147525868,0.6284210862985999,0.7417860166555073,1.0,0.570004852020596,0.49654397913280024,0.8162311095328642,0.5616054118793142,0.5600771467372919,0.594399998694248,0.6421905412449669,0.5738989952523201,0.6713841987300015,0.8483207367004906,0.5528041442561753,0.5286835756829444,1.0,0.6287752536817122,0.5840745230423565,0.7383915206110832,0.5049502706521752,0.40386929374884184,0.6863238932915898,0.6878132211925714,0.5468942505081333,1.0,0.5265628838262797,0.6389029091894476,0.7027090564444481,0.6717000830571391,1.0,0.7454141313726241,0.49640816856181835,0.7738633276497502,0.774069026540441,0.6196003987360259,0.5925241950556935,0.5464476207113244,0.5531950711110571
Avatar: Dòng chảy của nước,0.771247158250389,0.6717343473131266,0.7469321807090534,0.6034313103606824,0.6824551029839021,1.0,0.5524107255801162,1.1102230246251565e-16,0.6419630689757486,0.6596042710470471,0.5346049105636287,0.6426238543003997,0.4826420065186944,0.6784784118002922,0.6112060187716029,0.6028961003129873,0.8338949662791431,0.6617358848429655,1.0,0.6827755679605038,0.6314412606147644,0.7102962825072595,1.0,0.6572924600161644,0.4754344928386557,0.7733327121266609,0.5974337050455564,0.539945901549096,0.5762679030576991,0.6023114594135937,0.6025494981483273,0.6837946641408992,0.8156676690549529,0.5793864099081465,0.5590199589287819,1.0,0.5562485818410081,0.568704092356309,0.6854048618499073,0.4568698805580751,0.571983513167187,0.7787418888564752,0.7717149358732782,0.49353281554409967,1.0,0.5037466277414377,0.5682553334531035,0.7164785612177098,0.7253170809032841,1.0,0.7605933292901843,0.5468093602582085,0.794231344720215,0.8142888716483079,0.6456931099429621,0.5557094966559153,0.5503725810958148,0.504559477592839
Lật mặt 6: Tấm vé định mệnh,0.8437781448274094,0.5834662961310076,0.7777142807190395,0.7082880416518402,0.6894301893314362,1.0,0.6786770775381538,0.6419630689757486,-4.440892098500626e-16,0.7948953311041229,0.630089333748253,0.7665498667931109,0.6596593671392585,0.6970607373837697,0.6599179171306309,0.6589939556734041,0.6996653653984832,0.691000455548999,1.0,0.6569480228813502,0.7139764361501614,0.8458621631184349,1.0,0.6394123926771578,0.6302333319892555,0.8513926342769503,0.6378279931191235,0.6733266837297602,0.6899552435869555,0.6556822333889465,0.5942018928327505,0.8056870562489712,0.9218359302461434,0.6777214366954752,0.7086441475253462,1.0,0.7824290178663224,0.7242099461010647,0.7526994060402359,0.666113623958404,0.7371027066617393,0.6761560686418147,0.6374656889409762,0.6806282224734412,1.0,0.6901405562107557,0.6290196204036724,0.7644946282559646,0.7891032522252768,1.0,0.812126145317067,0.6882909236949876,0.7968885544066029,0.773455991466336,0.6934587686524281,0.6209820427854562,0.7074345863078083,0.6812835774333892
Nhà gia tiên,0.9074358961743322,0.6146256219040099,0.7536240213703865,0.7170869159465854,0.784462013951583,1.0,0.7213573468335531,0.6596042710470471,0.7948953311041229,-2.220446049250313e-16,0.6914786132021004,0.7659944909418569,0.7649829059893222,0.7184196008488124,0.6355671279971943,0.827561153713732,0.747104621531669,0.6621565193457456,1.0,0.7676465143803286,0.7776071101380393,0.7732677422958786,1.0,0.7282624749810287,0.7208922744591464,0.8000293779861141,0.7761033525152979,0.6745473443702916,0.7369095773520061,0.7555325619023462,0.7922971758761219,0.8296272023787203,0.9651034252542716,0.7469720373941744,0.7713373009766609,1.0,0.7790239519283879,0.7963846451683079,0.7767862101353484,0.7738667698167437,0.7456282768493925,0.8311559592929854,0.7671909574492788,0.7475482794522105,1.0,0.7760502692924751,0.6309243773064066,0.741767840488079,0.7599202709152908,1.0,0.7600778039609476,0.712926953742919,0.8134245530097547,0.7792575849018475,0.6993405530441432,0.7324503185888604,0.7317283020915961,0.7217810919159113
Exhuma: Quật mộ trùng ma,0.8169458395641935,0.617799423425992,0.7567665282881176,0.6603880810115097,0.5730349478955099,1.0,0.5993598611116049,0.5346049105636287,0.630089333748253,0.6914786132021004,-2.220446049250313e-16,0.6835625207538243,0.55381510628871,0.6645731775389964,0.6679710019931024,0.6397118755614456,0.728530835676833,0.7049140265908049,1.0,0.6893845110834946,0.6520708209948591,0.7689431991449186,1.0,0.6381284444288573,0.4771739418575739,0.8005667447832118,0.5734045312761277,0.5443709190462647,0.6128234002952533,0.5981802283849444,0.6151866167156592,0.7050198217844281,0.896709413256266,0.5788946423517619,0.5269763315988503,1.0,0.7678945367594742,0.6666227408047867,0.7064709452857671,0.5437541343451051,0.5880464968279533,0.6798392456656931,0.7158819527837781,0.5392334712729854,1.0,0.5849883176733585,0.49996746422292593,0.7076263335253958,0.7875633550025636,1.0,0.8298086785509045,0.5387866180633334,0.7165727982940492,0.7893308816997793,0.5237890749903525,0.6061709310574026,0.5683924921804515,0.5651301319865822
Phù thủy tối thượng trong Đa Vũ trụ hỗn loạn,0.8469417626813214,0.6629610151013495,0.8344578242462916,0.8101587344893654,0.806532665372266,1.0,0.5151734211153962,0.6426238543003997,0.7665498667931109,0.7659944909418569,0.6835625207538243,0.0,0.6436562253308953,0.6935587224706523,0.676342697100486,0.5678329272975503,0.8772899139885102,0.6937319848190429,1.0,0.6526782520719101,0.7316633730612321,0.7990165091234672,1.0,0.6879930550370019,0.6610677672575376,0.8876145278634553,0.6554243318949453,0.6074167665051086,0.6402261198204819,0.7335946892721186,0.6600810006410245,0.7383488287169486,0.9475646130689049,0.690270450093549,0.6262816603657172,1.0,0.6547605609477972,0.6142404475679577,0.8096271958373126,0.4933765666958221,0.5520100781272215,0.8173659267103401,0.7395177693299114,0.4870461414434103,1.0,0.6246255724846392,0.6739457988658624,0.7488148874117787,0.751921904041725,1.0,0.861461656891729,0.6448822749526408,0.7806708886926315,0.8081804102754064,0.7310702447543974,0.6643699976562105,0.6717873634514288,0.6125813312894883
Minions: Sự trỗi dậy của Gru,0.7381586910658458,0.6835593419652847,0.7848300457031231,0.6984072162296597,0.6556872846133832,1.0,0.4677281143926165,0.4826420065186944,0.6596593671392585,0.7649829059893222,0.55381510628871,0.6436562253308953,0.0,0.6910437454535348,0.6383783765310682,0.4794347573147413,0.8005079228242665,0.68336067608076,1.0,0.7472438290835832,0.7316129162611542,0.7904276310547929,1.0,0.6881845921168819,0.5194419258274402,0.849905030785143,0.5415191823739405,0.5685449068314758,0.6086236248876014,0.6369993349661334,0.6819439134423815,0.76412785523855,0.8893505793526228,0.6030054579167803,0.6148635825915453,1.0,0.7114559695048293,0.6095835305097785,0.8048225785716894,0.5062867424485273,0.5844817451392536,0.7077613561462195,0.7587467091569771,0.5516328796477254,1.0,0.6187325426428887,0.6452292747556219,0.7762065765595338,0.7720313898787551,1.0,0.82665908999561,0.5720977591455805,0.7833513267241332,0.7922334183397357,0.6532382240170282,0.5600906947656565,0.4261064887525151,0.5180011279362571
Hai Phượng,0.8581562484734644,0.5917943051578187,0.736812033849163,0.6884793624066289,0.7989617654349226,1.0,0.7394068761947669,0.6784784118002922,0.6970607373837697,0.7184196008488124,0.6645731775389964,0.6935587224706523,0.6910437454535348,-2.220446049250313e-16,0.5068367141018744,0.6842436137148046,0.870305804559907,0.5744026543971847,1.0,0.7321415040204663,0.7464102745342176,0.7528961827298855,1.0,0.667836691102182,0.6888647340784398,0.8689176300743516,0.5417136407857225,0.6871712159487401,0.6423745147050435,0.5332189551710159,0.6722922045702748,0.7792915204855513,0.8703175473613431,0.6629859410657344,0.7226075741978859,1.0,0.7621133308670136,0.7038679361007084,0.7846162877175761,0.7636192730193482,0.7388158576864643,0.7663636949235826,0.6941854177144844,0.6311995423078898,1.0,0.735489755585055,0.6299199677887257,0.7201891747462906,0.8074183582127591,1.0,0.7550621664620334,0.6589512010632124,0.615735514384717,0.8180810582004565,0.6049524444816528,0.6171661633498123,0.7228067954801143,0.6344242334976169
